Speaker	Statement	Rating
Tom Graves	More Americans believe the moon landing was fake than believe Obamacare is affordable.	2
Tom Graves	Despite having their budget increased by over 40 percent since 2009  pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration.	0
Focus on the Family Action	Among his (Obama's) pet projects is a bill ... which would commit the U.S. to spending 0.7 percent of gross national product on foreign aid.	4
Focus on the Family Action	As a state senator, he (Obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!	0
Leah Ward Sears	I was never against same-sex marriage.	1
Alan Krueger	Since the Affordable Care Act passed, 90 percent of job growth has been in full-time positions.	0
Tennessee Democratic Party	Tennessees grocery tax is one of the highest in the nation.	0
Steve Cohen	The fact is, in the past year we have had more tax cuts than almost any time in our nation's history.	2
Steve Cohen	The Republicans have never done anything really to balance the budget.	5
Yolanda Adrean	We [the city of Atlanta] are overbuilt on housing.	2
Tom Cotton	President Obama hijacked the farm bill (and) turned it into a food stamp bill.	5
Maryellen O'Shaughnessy	Since 2000, when he entered politics, Jon Husted has been on the ballot six times for three different political offices.	0
James Stegmaier	Chesterfield has eliminated more positions from its general government operations than the Commonwealth has from the entire state government since (fiscal) 2009.	0
Larry O'Connor	25 percent of federal inmates are noncitizens.	1
Ron  Christie	After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury.	3
Georgia Gun Owners	Nathan Deal killed pro-gun bills in 2013.	3
Ed FitzGerald	Ohioans want an end to pay-to-play politics.	4
Ed FitzGerald	Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while they're paying more and more at the gas pump and the grocery stores.	1
Matt  Wingard	Oregons per capita income is 9 percent below the national average and getting worse. This is a state thats actually getting poorer.	2
Dianne Feinstein	We have no regulation of drones in the United States in their commercial use.	4
Dianne Feinstein	One out of every five law enforcement officers that's killed is killed with an assault weapon.	1
Dianne Feinstein	No poll done this year ... shows less than a majority to reinstate a federal ban on assault weapons.	1
Dianne Feinstein	We are the only industrialized nation that relies heavily on a for-profit medical insurance industry to provide basic health care.	1
Dan Patrick	David Dewhurst currently owes more than $1 million to vendors for services provided to his 2012 U.S. Senate campaign.	1
Dan Patrick	We have a 40 to 50 percent dropout rate in our inner-city schools.	4
Dan Patrick	We have 80,000 abortions in Texas every year.	0
Dan Patrick	As chair of the Senate Education Committee, I led the charge to restore most of the education cuts from last session.	5
Arne Duncan	In this country, we have a 25 percent dropout rate.	2
Arne Duncan	One generation ago we led the world in college graduation. We're 16th today.	1
Arne Duncan	After one year, Tennessees students made their biggest single-year jump in achievement ever recorded in the state.	1
Jimmie T. Smith	It was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that First Amendment right.	4
Marilinda Garcia	I cut spending while serving in the state Legislature	1
Judy Manning	When [Mitt Romney] was the governor of Massachusetts, he performed 100  and Im not sure this number is right, but my mind says its about 180 gay marriages.	5
Philip Keefe	If they made no changes whatsoever, the [state employees pension] plan still had enough money to go forward for approximately the next 16 years.	4
Anita Perry	My son had to resign his job because of federal regulations that Washington has put on us.	1
John Ludlow	As Mayor of Wilsonville, I drove TriMet out of town and replaced their bloated transit system with our own local bus line that offers better service and has saved our businesses millions of dollars.	3
John Ludlow	I am happy to decline PERS so that the County can save over $68,000 over a four year term that would have been paid on my behalf.	2
Ryan Lizza	Countries bombed: Obama 7, Bush 4	0
Patrick Kennedy	One-third of the health care dollar goes to no such thing as health care; it goes to the insurance companies.	4
Patrick Kennedy	The largest number of bankruptcies in our country are really as a result of health care.	2
Patrick Kennedy	Eighty percent of those who have applied for licenses have no cancer, no Parkinson's disease or glaucoma. They have nothing you would associate [with] the use of medical marijuana.	2
Nancy Nathanson	a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.	0
Herman Cain	I did not say that I would not have them [Muslims] in my Cabinet.	5
Herman Cain	If we had been on 'Obamacare' and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment.	4
Herman Cain	Today, when people retire in Galveston County, Texas, they retire making at least 50 percent more than they would ever get out of Social Security.	2
Herman Cain	More people are losing their insurance (due to Obamacare) than are becoming newly insured.	4
Herman Cain	Over the last 40 years, real wage growth has been flatlined because of the policies of the Federal Reserve ... It was all driven by the Federal Reserve.	3
Herman Cain	Current projections indicate that Medicare will go bankrupt by 2017, while Social Security will bottom out by 2037.	2
Herman Cain	in Canada, the number of CT scan machines per 1,000 people is like one-tenth of what we have here in this country. That's why people have to wait.	4
Herman Cain	Every worker pays 15.3 percent payroll tax.	3
Herman Cain	This is the worst jobs recovery since the Great Depression.	4
Herman Cain	If our recovery were more typical of the postwar era . . . we would have 14 million more jobs today.	1
Herman Cain	When I became president and CEO of Godfathers Pizza, it was supposed to go bankrupt . . . We turned it around with common-sense business principles.	1
Alison Littell McHose	Illegal immigration costs state taxpayers over $3 billion every year.	4
Nikema  Williams	Georgia is nearly 50 percent Democratic and (the Republican majority) diminished our voting strength to 32 percent through gerrymandered maps.	2
Barbara Cargill	The Federal Reserve system has presided over about a 95... percent decline in the U.S. dollar.	3
John Thrasher	Attorney General McCollum, Speaker-Designate Cannon, Senate President-Designate Haridopolos and I stood up to Governor Crist and worked to remove Jim Greer as Chairman because of his mismanagement of the party.	0
John Thrasher	We will be the first party to elect a bald guy to governor.	4
Steve Goreham	Global surface temperatures have been flat for 16 years.	2
Brian Schatz	For several days in July of 2012, Greenland surface ice cover melted more than at any time in 30 years of satellite observation. During that month, an estimated 97% of the ice sheet thawed.	2
Michele Bachmann	My husband and I have never gotten a penny of money from the farm.	4
Michele Bachmann	We saw the president of the United States engage American troops in a fourth conflict in a foreign land. This is historic.	4
Michele Bachmann	Speaker Pelosi ... has been busy sticking the taxpayer with her $100,000 bar tab for alcohol on the military jets that she's flying.	5
Michele Bachmann	When we got the income tax in 1913, the top rate was 7 percent. By 1980, the top rate was 70 percent.	0
Michele Bachmann	After the debate that we had last week, PolitiFact came out and said that everything I said was true.	5
